Date,Sample,Max,Min,Average,Ambient,Humidity,PMI
14/05/2021,1,12.9,9.9,11,10.6,73,10
14/05/2021,2,11.8,9,10.2,10.6,73,10
14/05/2021,3,12.3,8.4,9.4,10.6,73,10
14/05/2021,4,11.4,8.4,9.4,10.6,73,10
14/05/2021,5,11.7,8.6,9.6,10.6,73,10
14/05/2021,6,11.6,8.7,9.6,10.6,73,10
19/05/2021,1,9.1,6.2,7,10.5,66,15
19/05/2021,2,10.2,7.1,7.9,10.5,66,15
19/05/2021,3,10.8,8.2,9,10.5,66,15
19/05/2021,4,11.4,7.7,8.8,10.5,66,15
19/05/2021,5,11.1,7.8,9,10.5,66,15
19/05/2021,6,11,7.9,8.8,10.5,66,15
21/05/2021,1,7.4,5,5.4,11.2,85,17
21/05/2021,2,7.4,6.2,6.5,11.2,85,17
21/05/2021,3,9.6,7.3,7.6,11.2,85,17
21/05/2021,4,10.5,7.3,7.8,11.2,85,17
21/05/2021,5,9.9,8.7,9.1,11.2,85,17
21/05/2021,6,11.8,9.2,9.5,11.2,85,17
24/05/2021,1,5.7,2.1,2.7,9.6,74,20
24/05/2021,2,5.8,2.8,3.4,9.6,74,20
24/05/2021,3,9.7,4.9,5.5,9.6,74,20
24/05/2021,4,9.7,5.3,5.9,9.6,74,20
24/05/2021,5,7.7,6.2,6.7,9.6,74,20
24/05/2021,6,10.5,6.8,7.4,9.6,74,20
26/05/2021,1,6.9,3.3,4.3,11.6,68,22
26/05/2021,2,11.6,8,9,11.6,68,22
26/05/2021,3,11.5,8,9.1,11.6,68,22
26/05/2021,4,15.3,8.1,9,11.6,68,22
26/05/2021,5,12.3,8.7,9.6,11.6,68,22
26/05/2021,6,14.4,9.3,10.2,11.6,68,22
28/05/2021,1,17.4,7.4,8.4,15.1,65,24
28/05/2021,2,21.9,11.4,12.4,15.1,65,24
28/05/2021,3,20.9,12.5,13.5,15.1,65,24
28/05/2021,4,22.9,12.1,13.2,15.1,65,24
28/05/2021,5,18.9,12.6,13.5,15.1,65,24
28/05/2021,6,26.3,13,14.2,15.1,65,24
01/06/2021,1,28.7,13.3,15.9,20.7,58,28
01/06/2021,2,27.9,15.4,18.9,20.7,58,28
01/06/2021,3,30.3,17.7,20.5,20.7,58,28
01/06/2021,4,27,16.3,18.8,20.7,58,28
01/06/2021,5,27,16.6,19.2,20.7,58,28
01/06/2021,6,30.9,17,19.8,20.7,58,28
04/06/2021,1,26,9,11.9,16.8,58,31
04/06/2021,2,25.7,10.3,13,16.8,58,31
04/06/2021,3,25.5,11.2,14.2,16.8,58,31
04/06/2021,4,24,12.4,14.9,16.8,58,31
04/06/2021,5,26.6,12.7,15.3,16.8,58,31
04/06/2021,6,26.9,13.2,15.8,16.8,58,31
08/06/2021,1,32.5,12.7,17.3,19.1,55,34
08/06/2021,2,36.8,15.6,21.9,19.1,55,34
08/06/2021,3,34.5,16.8,20.3,19.1,55,34
08/06/2021,4,33.6,16.8,20.5,19.1,55,34
08/06/2021,5,34.6,17,21.1,19.1,55,34
08/06/2021,6,33.1,17.4,21.3,19.1,55,34
11/06/2021,1,24.5,12.8,14.9,17.1,75,37
11/06/2021,2,33.3,13.5,15.9,17.1,75,37
11/06/2021,3,23.8,16,17.2,17.1,75,37
11/06/2021,4,29,15.6,17.9,17.1,75,37
11/06/2021,5,27.4,16.9,18.7,17.1,75,37
11/06/2021,6,29.4,17.1,18.4,17.1,75,37
15/06/2021,1,18.7,12,13.9,17.5,60,41
15/06/2021,2,28.1,14.4,19,17.5,60,41
15/06/2021,3,26.3,15.6,18,17.5,60,41
15/06/2021,4,20.2,15.6,17.8,17.5,60,41
15/06/2021,5,21.6,16,19,17.5,60,41
15/06/2021,6,27.3,17.4,19.7,17.5,60,41
